Encounter_ID,AdditionalServiceID
2157,1
2157,2
2157,3
2157,4
2157,5
2161,5
2162,3
2162,4
2162,5
2162,6
2164,1
2164,5
2165,4
2165,5
2165,6
2168,4
2170,3
2170,4
2170,5
2170,6
2173,1
2178,2
2181,4
2181,5
2182,1
2185,3
2185,5
2187,4
2187,5
2187,6
2189,3
2189,4
2189,2
2193,4
2193,1
2195,1
2195,2
2195,6
2195,7
2195,8
2197,2
2197,8
2197,9
2197,3
2197,4
2198,1
2198,6
2199,6
2200,3
2200,10
2200,1
2203,5
2204,2
2206,3
2207,3
2207,5
2211,3
2211,5
2211,2
2214,5
2216,1
2216,2
2216,6
2216,3
2216,5
2218,3
2218,9
2218,6
2219,6
2219,7
2219,10
2219,8
2219,4
2219,5
2225,1
2225,2
2225,6
2225,8
2225,9
2225,4
2225,5
2226,1
2226,2
2226,7
2226,10
2226,9
2226,4
2227,2
2227,6
2228,5
2228,4
2228,1
2228,6
2231,1
2232,1
2232,2
2232,3
2232,4
2232,5
2233,1
2233,6
2235,2
2235,6
2235,7
2235,10
2235,8
2235,5
2236,2
2236,4
2236,5
2236,6
2238,2
2243,6
2244,4
2244,1
2245,2
2245,3
2245,1
2245,6
2246,1
2246,2
2250,1
2252,1
2252,6
2255,4
2255,5
2255,6
2257,1
2257,2
2257,6
2257,3
2257,4
2257,5
2262,3
2266,3
2266,1
2266,2
2267,1
2269,1
2269,6
2269,7
2269,8
2269,9
2270,1
2270,2
2272,2
2272,4
2272,1
2272,6
2274,2
2274,6
2276,1
2276,5
2279,2
2279,5
2279,1
2279,6
2282,3
2282,7
2282,1
2282,6
2285,3
2286,1
2290,6
2294,1
2294,7
2294,8
2294,3
2294,4
2294,5
2299,3
2299,4
2299,5
2299,2
2304,2
2304,6
2307,2
2307,4
2307,1
2307,6
2308,8
2309,6
2310,3
2310,4
2310,5
2310,2
2312,4
2312,5
2314,3
2314,6
2316,3
2316,4
2316,5
2316,6
2319,5
2319,4
2319,1
2319,2
2322,5
2327,3
2327,5
2327,1
2327,2
2329,4
2329,1
2329,5
2334,5
2334,8
2334,9
2334,2
2341,10
2347,1
2347,5
2349,5
2349,1
2349,2
2350,2
2350,1
2350,6
2355,3
2356,2
2358,7
2358,9
2358,1
2360,3
2360,4
2360,5
2360,2
2364,5
2364,4
2364,1
2364,2
2365,4
2365,1
2366,5
2366,6
2368,3
2368,4
2368,5
2369,4
2369,1
2371,4
2372,3
2372,7
2372,8
2372,6
2377,3
2378,7
2378,5
2378,6
2381,4
