Date,DateKey,Year,Month,Day,Quarter,Weekday,Date_String
1908-01-01,1011908,1908,1,1,1,2,01-01-1908
1908-01-02,2011908,1908,1,2,1,3,02-01-1908
1908-01-03,3011908,1908,1,3,1,4,03-01-1908
1908-01-04,4011908,1908,1,4,1,5,04-01-1908
1908-01-05,5011908,1908,1,5,1,6,05-01-1908
1908-01-06,6011908,1908,1,6,1,0,06-01-1908
1908-01-07,7011908,1908,1,7,1,1,07-01-1908
1908-01-08,8011908,1908,1,8,1,2,08-01-1908
1908-01-09,9011908,1908,1,9,1,3,09-01-1908
1908-01-10,10011908,1908,1,10,1,4,10-01-1908
1908-01-11,11011908,1908,1,11,1,5,11-01-1908
1908-01-12,12011908,1908,1,12,1,6,12-01-1908
1908-01-13,13011908,1908,1,13,1,0,13-01-1908
1908-01-14,14011908,1908,1,14,1,1,14-01-1908
1908-01-15,15011908,1908,1,15,1,2,15-01-1908
1908-01-16,16011908,1908,1,16,1,3,16-01-1908
1908-01-17,17011908,1908,1,17,1,4,17-01-1908
1908-01-18,18011908,1908,1,18,1,5,18-01-1908
1908-01-19,19011908,1908,1,19,1,6,19-01-1908
1908-01-20,20011908,1908,1,20,1,0,20-01-1908
1908-01-21,21011908,1908,1,21,1,1,21-01-1908
1908-01-22,22011908,1908,1,22,1,2,22-01-1908
1908-01-23,23011908,1908,1,23,1,3,23-01-1908
1908-01-24,24011908,1908,1,24,1,4,24-01-1908
1908-01-25,25011908,1908,1,25,1,5,25-01-1908
1908-01-26,26011908,1908,1,26,1,6,26-01-1908
1908-01-27,27011908,1908,1,27,1,0,27-01-1908
1908-01-28,28011908,1908,1,28,1,1,28-01-1908
1908-01-29,29011908,1908,1,29,1,2,29-01-1908
1908-01-30,30011908,1908,1,30,1,3,30-01-1908
1908-01-31,31011908,1908,1,31,1,4,31-01-1908
1908-02-01,1021908,1908,2,1,1,5,01-02-1908
1908-02-02,2021908,1908,2,2,1,6,02-02-1908
1908-02-03,3021908,1908,2,3,1,0,03-02-1908
1908-02-04,4021908,1908,2,4,1,1,04-02-1908
1908-02-05,5021908,1908,2,5,1,2,05-02-1908
1908-02-06,6021908,1908,2,6,1,3,06-02-1908
1908-02-07,7021908,1908,2,7,1,4,07-02-1908
1908-02-08,8021908,1908,2,8,1,5,08-02-1908
1908-02-09,9021908,1908,2,9,1,6,09-02-1908
1908-02-10,10021908,1908,2,10,1,0,10-02-1908
1908-02-11,11021908,1908,2,11,1,1,11-02-1908
1908-02-12,12021908,1908,2,12,1,2,12-02-1908
1908-02-13,13021908,1908,2,13,1,3,13-02-1908
1908-02-14,14021908,1908,2,14,1,4,14-02-1908
1908-02-15,15021908,1908,2,15,1,5,15-02-1908
1908-02-16,16021908,1908,2,16,1,6,16-02-1908
1908-02-17,17021908,1908,2,17,1,0,17-02-1908
1908-02-18,18021908,1908,2,18,1,1,18-02-1908
1908-02-19,19021908,1908,2,19,1,2,19-02-1908
1908-02-20,20021908,1908,2,20,1,3,20-02-1908
1908-02-21,21021908,1908,2,21,1,4,21-02-1908
1908-02-22,22021908,1908,2,22,1,5,22-02-1908
1908-02-23,23021908,1908,2,23,1,6,23-02-1908
1908-02-24,24021908,1908,2,24,1,0,24-02-1908
1908-02-25,25021908,1908,2,25,1,1,25-02-1908
1908-02-26,26021908,1908,2,26,1,2,26-02-1908
1908-02-27,27021908,1908,2,27,1,3,27-02-1908
1908-02-28,28021908,1908,2,28,1,4,28-02-1908
1908-02-29,29021908,1908,2,29,1,5,29-02-1908
1908-03-01,1031908,1908,3,1,1,6,01-03-1908
1908-03-02,2031908,1908,3,2,1,0,02-03-1908
1908-03-03,3031908,1908,3,3,1,1,03-03-1908
1908-03-04,4031908,1908,3,4,1,2,04-03-1908
1908-03-05,5031908,1908,3,5,1,3,05-03-1908
1908-03-06,6031908,1908,3,6,1,4,06-03-1908
1908-03-07,7031908,1908,3,7,1,5,07-03-1908
1908-03-08,8031908,1908,3,8,1,6,08-03-1908
1908-03-09,9031908,1908,3,9,1,0,09-03-1908
1908-03-10,10031908,1908,3,10,1,1,10-03-1908
1908-03-11,11031908,1908,3,11,1,2,11-03-1908
1908-03-12,12031908,1908,3,12,1,3,12-03-1908
1908-03-13,13031908,1908,3,13,1,4,13-03-1908
1908-03-14,14031908,1908,3,14,1,5,14-03-1908
1908-03-15,15031908,1908,3,15,1,6,15-03-1908
1908-03-16,16031908,1908,3,16,1,0,16-03-1908
1908-03-17,17031908,1908,3,17,1,1,17-03-1908
1908-03-18,18031908,1908,3,18,1,2,18-03-1908
1908-03-19,19031908,1908,3,19,1,3,19-03-1908
1908-03-20,20031908,1908,3,20,1,4,20-03-1908
1908-03-21,21031908,1908,3,21,1,5,21-03-1908
1908-03-22,22031908,1908,3,22,1,6,22-03-1908
1908-03-23,23031908,1908,3,23,1,0,23-03-1908
1908-03-24,24031908,1908,3,24,1,1,24-03-1908
1908-03-25,25031908,1908,3,25,1,2,25-03-1908
1908-03-26,26031908,1908,3,26,1,3,26-03-1908
1908-03-27,27031908,1908,3,27,1,4,27-03-1908
1908-03-28,28031908,1908,3,28,1,5,28-03-1908
1908-03-29,29031908,1908,3,29,1,6,29-03-1908
1908-03-30,30031908,1908,3,30,1,0,30-03-1908
1908-03-31,31031908,1908,3,31,1,1,31-03-1908
1908-04-01,1041908,1908,4,1,2,2,01-04-1908
1908-04-02,2041908,1908,4,2,2,3,02-04-1908
1908-04-03,3041908,1908,4,3,2,4,03-04-1908
1908-04-04,4041908,1908,4,4,2,5,04-04-1908
1908-04-05,5041908,1908,4,5,2,6,05-04-1908
1908-04-06,6041908,1908,4,6,2,0,06-04-1908
1908-04-07,7041908,1908,4,7,2,1,07-04-1908
1908-04-08,8041908,1908,4,8,2,2,08-04-1908
1908-04-09,9041908,1908,4,9,2,3,09-04-1908
1908-04-10,10041908,1908,4,10,2,4,10-04-1908
1908-04-11,11041908,1908,4,11,2,5,11-04-1908
1908-04-12,12041908,1908,4,12,2,6,12-04-1908
1908-04-13,13041908,1908,4,13,2,0,13-04-1908
1908-04-14,14041908,1908,4,14,2,1,14-04-1908
1908-04-15,15041908,1908,4,15,2,2,15-04-1908
1908-04-16,16041908,1908,4,16,2,3,16-04-1908
1908-04-17,17041908,1908,4,17,2,4,17-04-1908
1908-04-18,18041908,1908,4,18,2,5,18-04-1908
1908-04-19,19041908,1908,4,19,2,6,19-04-1908
1908-04-20,20041908,1908,4,20,2,0,20-04-1908
1908-04-21,21041908,1908,4,21,2,1,21-04-1908
1908-04-22,22041908,1908,4,22,2,2,22-04-1908
1908-04-23,23041908,1908,4,23,2,3,23-04-1908
1908-04-24,24041908,1908,4,24,2,4,24-04-1908
1908-04-25,25041908,1908,4,25,2,5,25-04-1908
1908-04-26,26041908,1908,4,26,2,6,26-04-1908
1908-04-27,27041908,1908,4,27,2,0,27-04-1908
1908-04-28,28041908,1908,4,28,2,1,28-04-1908
1908-04-29,29041908,1908,4,29,2,2,29-04-1908
1908-04-30,30041908,1908,4,30,2,3,30-04-1908
1908-05-01,1051908,1908,5,1,2,4,01-05-1908
1908-05-02,2051908,1908,5,2,2,5,02-05-1908
1908-05-03,3051908,1908,5,3,2,6,03-05-1908
1908-05-04,4051908,1908,5,4,2,0,04-05-1908
1908-05-05,5051908,1908,5,5,2,1,05-05-1908
1908-05-06,6051908,1908,5,6,2,2,06-05-1908
1908-05-07,7051908,1908,5,7,2,3,07-05-1908
1908-05-08,8051908,1908,5,8,2,4,08-05-1908
1908-05-09,9051908,1908,5,9,2,5,09-05-1908
1908-05-10,10051908,1908,5,10,2,6,10-05-1908
1908-05-11,11051908,1908,5,11,2,0,11-05-1908
1908-05-12,12051908,1908,5,12,2,1,12-05-1908
1908-05-13,13051908,1908,5,13,2,2,13-05-1908
1908-05-14,14051908,1908,5,14,2,3,14-05-1908
1908-05-15,15051908,1908,5,15,2,4,15-05-1908
1908-05-16,16051908,1908,5,16,2,5,16-05-1908
1908-05-17,17051908,1908,5,17,2,6,17-05-1908
1908-05-18,18051908,1908,5,18,2,0,18-05-1908
1908-05-19,19051908,1908,5,19,2,1,19-05-1908
1908-05-20,20051908,1908,5,20,2,2,20-05-1908
1908-05-21,21051908,1908,5,21,2,3,21-05-1908
1908-05-22,22051908,1908,5,22,2,4,22-05-1908
1908-05-23,23051908,1908,5,23,2,5,23-05-1908
1908-05-24,24051908,1908,5,24,2,6,24-05-1908
1908-05-25,25051908,1908,5,25,2,0,25-05-1908
1908-05-26,26051908,1908,5,26,2,1,26-05-1908
1908-05-27,27051908,1908,5,27,2,2,27-05-1908
1908-05-28,28051908,1908,5,28,2,3,28-05-1908
1908-05-29,29051908,1908,5,29,2,4,29-05-1908
1908-05-30,30051908,1908,5,30,2,5,30-05-1908
1908-05-31,31051908,1908,5,31,2,6,31-05-1908
1908-06-01,1061908,1908,6,1,2,0,01-06-1908
1908-06-02,2061908,1908,6,2,2,1,02-06-1908
1908-06-03,3061908,1908,6,3,2,2,03-06-1908
1908-06-04,4061908,1908,6,4,2,3,04-06-1908
1908-06-05,5061908,1908,6,5,2,4,05-06-1908
1908-06-06,6061908,1908,6,6,2,5,06-06-1908
1908-06-07,7061908,1908,6,7,2,6,07-06-1908
1908-06-08,8061908,1908,6,8,2,0,08-06-1908
1908-06-09,9061908,1908,6,9,2,1,09-06-1908
1908-06-10,10061908,1908,6,10,2,2,10-06-1908
1908-06-11,11061908,1908,6,11,2,3,11-06-1908
1908-06-12,12061908,1908,6,12,2,4,12-06-1908
1908-06-13,13061908,1908,6,13,2,5,13-06-1908
1908-06-14,14061908,1908,6,14,2,6,14-06-1908
1908-06-15,15061908,1908,6,15,2,0,15-06-1908
1908-06-16,16061908,1908,6,16,2,1,16-06-1908
1908-06-17,17061908,1908,6,17,2,2,17-06-1908
1908-06-18,18061908,1908,6,18,2,3,18-06-1908
1908-06-19,19061908,1908,6,19,2,4,19-06-1908
1908-06-20,20061908,1908,6,20,2,5,20-06-1908
1908-06-21,21061908,1908,6,21,2,6,21-06-1908
1908-06-22,22061908,1908,6,22,2,0,22-06-1908
1908-06-23,23061908,1908,6,23,2,1,23-06-1908
1908-06-24,24061908,1908,6,24,2,2,24-06-1908
1908-06-25,25061908,1908,6,25,2,3,25-06-1908
1908-06-26,26061908,1908,6,26,2,4,26-06-1908
1908-06-27,27061908,1908,6,27,2,5,27-06-1908
1908-06-28,28061908,1908,6,28,2,6,28-06-1908
1908-06-29,29061908,1908,6,29,2,0,29-06-1908
1908-06-30,30061908,1908,6,30,2,1,30-06-1908
1908-07-01,1071908,1908,7,1,3,2,01-07-1908
1908-07-02,2071908,1908,7,2,3,3,02-07-1908
1908-07-03,3071908,1908,7,3,3,4,03-07-1908
1908-07-04,4071908,1908,7,4,3,5,04-07-1908
1908-07-05,5071908,1908,7,5,3,6,05-07-1908
1908-07-06,6071908,1908,7,6,3,0,06-07-1908
1908-07-07,7071908,1908,7,7,3,1,07-07-1908
1908-07-08,8071908,1908,7,8,3,2,08-07-1908
1908-07-09,9071908,1908,7,9,3,3,09-07-1908
1908-07-10,10071908,1908,7,10,3,4,10-07-1908
1908-07-11,11071908,1908,7,11,3,5,11-07-1908
1908-07-12,12071908,1908,7,12,3,6,12-07-1908
1908-07-13,13071908,1908,7,13,3,0,13-07-1908
1908-07-14,14071908,1908,7,14,3,1,14-07-1908
1908-07-15,15071908,1908,7,15,3,2,15-07-1908
1908-07-16,16071908,1908,7,16,3,3,16-07-1908
1908-07-17,17071908,1908,7,17,3,4,17-07-1908
1908-07-18,18071908,1908,7,18,3,5,18-07-1908
1908-07-19,19071908,1908,7,19,3,6,19-07-1908
1908-07-20,20071908,1908,7,20,3,0,20-07-1908
1908-07-21,21071908,1908,7,21,3,1,21-07-1908
1908-07-22,22071908,1908,7,22,3,2,22-07-1908
1908-07-23,23071908,1908,7,23,3,3,23-07-1908
1908-07-24,24071908,1908,7,24,3,4,24-07-1908
1908-07-25,25071908,1908,7,25,3,5,25-07-1908
1908-07-26,26071908,1908,7,26,3,6,26-07-1908
1908-07-27,27071908,1908,7,27,3,0,27-07-1908
1908-07-28,28071908,1908,7,28,3,1,28-07-1908
1908-07-29,29071908,1908,7,29,3,2,29-07-1908
1908-07-30,30071908,1908,7,30,3,3,30-07-1908
1908-07-31,31071908,1908,7,31,3,4,31-07-1908
1908-08-01,1081908,1908,8,1,3,5,01-08-1908
1908-08-02,2081908,1908,8,2,3,6,02-08-1908
1908-08-03,3081908,1908,8,3,3,0,03-08-1908
1908-08-04,4081908,1908,8,4,3,1,04-08-1908
1908-08-05,5081908,1908,8,5,3,2,05-08-1908
1908-08-06,6081908,1908,8,6,3,3,06-08-1908
1908-08-07,7081908,1908,8,7,3,4,07-08-1908
1908-08-08,8081908,1908,8,8,3,5,08-08-1908
1908-08-09,9081908,1908,8,9,3,6,09-08-1908
1908-08-10,10081908,1908,8,10,3,0,10-08-1908
1908-08-11,11081908,1908,8,11,3,1,11-08-1908
1908-08-12,12081908,1908,8,12,3,2,12-08-1908
1908-08-13,13081908,1908,8,13,3,3,13-08-1908
1908-08-14,14081908,1908,8,14,3,4,14-08-1908
1908-08-15,15081908,1908,8,15,3,5,15-08-1908
1908-08-16,16081908,1908,8,16,3,6,16-08-1908
1908-08-17,17081908,1908,8,17,3,0,17-08-1908
1908-08-18,18081908,1908,8,18,3,1,18-08-1908
1908-08-19,19081908,1908,8,19,3,2,19-08-1908
1908-08-20,20081908,1908,8,20,3,3,20-08-1908
1908-08-21,21081908,1908,8,21,3,4,21-08-1908
1908-08-22,22081908,1908,8,22,3,5,22-08-1908
1908-08-23,23081908,1908,8,23,3,6,23-08-1908
1908-08-24,24081908,1908,8,24,3,0,24-08-1908
1908-08-25,25081908,1908,8,25,3,1,25-08-1908
1908-08-26,26081908,1908,8,26,3,2,26-08-1908
1908-08-27,27081908,1908,8,27,3,3,27-08-1908
1908-08-28,28081908,1908,8,28,3,4,28-08-1908
1908-08-29,29081908,1908,8,29,3,5,29-08-1908
1908-08-30,30081908,1908,8,30,3,6,30-08-1908
1908-08-31,31081908,1908,8,31,3,0,31-08-1908
1908-09-01,1091908,1908,9,1,3,1,01-09-1908
1908-09-02,2091908,1908,9,2,3,2,02-09-1908
1908-09-03,3091908,1908,9,3,3,3,03-09-1908
1908-09-04,4091908,1908,9,4,3,4,04-09-1908
1908-09-05,5091908,1908,9,5,3,5,05-09-1908
1908-09-06,6091908,1908,9,6,3,6,06-09-1908
1908-09-07,7091908,1908,9,7,3,0,07-09-1908
1908-09-08,8091908,1908,9,8,3,1,08-09-1908
1908-09-09,9091908,1908,9,9,3,2,09-09-1908
1908-09-10,10091908,1908,9,10,3,3,10-09-1908
1908-09-11,11091908,1908,9,11,3,4,11-09-1908
1908-09-12,12091908,1908,9,12,3,5,12-09-1908
1908-09-13,13091908,1908,9,13,3,6,13-09-1908
1908-09-14,14091908,1908,9,14,3,0,14-09-1908
1908-09-15,15091908,1908,9,15,3,1,15-09-1908
1908-09-16,16091908,1908,9,16,3,2,16-09-1908
1908-09-17,17091908,1908,9,17,3,3,17-09-1908
1908-09-18,18091908,1908,9,18,3,4,18-09-1908
